"","month","avetempc","mintempc","maxtempc"
"1","1",-3.9167138275797,-26.6666666666667,11.3888888888889
"2","2",-1.63614732050486,-24.4444444444444,15
"3","3",3.29176114890401,-14.4444444444444,22.7777777777778
"4","4",9.37719298245614,-2.22222222222222,25.5555555555556
"5","5",15.1471420486701,1.94444444444444,27.2222222222222
"6","6",20.7504873294347,9.44444444444444,31.3888888888889
"7","7",23.4252971137521,16.3888888888889,33.3333333333333
"8","8",22.4245425391436,13.3333333333333,31.9444444444444
"9","9",18.1656920077973,6.66666666666667,28.3333333333333
"10","10",11.3893604980192,0.277777777777778,26.1111111111111
"11","11",4.77582846003899,-8.05555555555556,19.4444444444444
"12","12",-1.78692699490662,-21.3888888888889,16.1111111111111
